strategy,cumulative_return,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,max_drawdown,max_drawdown_duration
fixed_a2c,0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
fixed_ppo,0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
fixed_ddpg,0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
fixed_sac,0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
fixed_td3,0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
fixed_uniform,0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
Best Fixed,0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
Recent Gating,0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
T-VAE,0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
Proposed RAG,0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
Return-Only (lambda=0),0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
Risk-Aware (lambda=0.1),0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
NR (No Retrieval),0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
R-LLM (No LLM),0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
R+L-NoU (No Uncertainty),0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
Full (R+L+U),0.560442,0.166031,0.12032,1.3371,2.2916,-0.113791,270.0
