cumulative_return,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,max_drawdown,max_drawdown_duration,experiment,strategy,K,lambda,llm_model,embed_dim
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,fixed_a2c,10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,fixed_ppo,10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,fixed_ddpg,10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,fixed_sac,10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,fixed_td3,10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,fixed_uniform,10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,Best Fixed,10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,Recent Gating,10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,T-VAE,10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,Proposed RAG,10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,Return-Only (lambda=0),10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,Risk-Aware (lambda=0.5),10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,NR (No Retrieval),10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,R-LLM (No LLM),10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,R+L-NoU (No Uncertainty),10,0.5,,
0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0,K10_lambda0.5,Full (R+L+U),10,0.5,,
