strategy,cumulative_return_mean,cumulative_return_std,annualised_return_mean,annualised_return_std,annualised_volatility_mean,annualised_volatility_std,sharpe_ratio_mean,sharpe_ratio_std,sortino_ratio_mean,sortino_ratio_std,max_drawdown_mean,max_drawdown_std
fixed_a2c,0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
fixed_ppo,0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
fixed_ddpg,0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
fixed_sac,0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
fixed_td3,0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
fixed_uniform,0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
Best Fixed,0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
Recent Gating,0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
T-VAE,0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
Proposed RAG,0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
Return-Only (lambda=0),0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
Risk-Aware (lambda=0.5),0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
NR (No Retrieval),0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
R-LLM (No LLM),0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
R+L-NoU (No Uncertainty),0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
Full (R+L+U),0.107806,,0.035975,,0.113156,,0.3689,,0.6197,,-0.136936,
