strategy,cumulative_return,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,max_drawdown,max_drawdown_duration
a2c,0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
ppo,0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
ddpg,0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
sac,0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
td3,0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
uniform,0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
Best Fixed,0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
Recent Gating,0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
T-VAE,0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
Proposed RAG,0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
Return-Only (lambda=0),0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
Risk-Aware (lambda=0.1),0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
NR (No Retrieval),0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
R-LLM (No LLM),0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
R+L-NoU (No Uncertainty),0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
Full (R+L+U),0.635893,0.185194,0.119207,1.4853,2.5366,-0.077362,135.0
